Symbol,LTP,Prev_Month,Prev_Month_High,Prev_Month_Low,Today_High,Today_Low,Broke_Month_High,Broke_Month_Low,%_From_Month_High,%_From_Month_Low,Session_Date
ADANIPORTS,1738.3,2026-08,1723.9,1593.1,1738.8,1725.1,YES,,0.84,9.11,2026-09-17
COALINDIA,418.0,2026-08,417.6,395.8,422.8,416.55,YES,,0.1,5.61,2026-09-17
LICHSGFIN,545.9,2026-08,543.4,485.45,554.55,541.05,YES,,0.46,12.45,2026-09-17
PAYTM,1763.0,2026-08,1732.3,1344.4,1816.3,1752.7,YES,,1.77,31.14,2026-09-17
TATACOMM,1791.6,2026-08,1793.8,1640.2,1831.5,1771.2,YES,,-0.12,9.23,2026-09-17
ACC,1232.5,2026-08,1413.9,1270.0,1240.4,1225.0,,YES,-12.83,-2.95,2026-09-17
AMBUJACEM,383.25,2026-08,450.5,401.15,386.3,380.55,,YES,-14.93,-4.46,2026-09-17
ASIANPAINT,2454.0,2026-08,2810.0,2561.1,2454.0,2421.0,,YES,-12.67,-4.18,2026-09-17
BAJAJ-AUTO,11500.0,2026-08,12130.0,11456.0,11576.0,11435.0,,YES,-5.19,0.38,2026-09-17
BAJAJFINSV,1859.2,2026-08,2118.5,1968.0,1863.0,1832.1,,YES,-12.24,-5.53,2026-09-17
BAJFINANCE,1015.0,2026-08,1176.4,1052.0,1027.9,1010.0,,YES,-13.72,-3.52,2026-09-17
BPCL,307.0,2026-08,329.95,304.7,308.0,303.15,,YES,-6.96,0.75,2026-09-17
BRITANNIA,4982.0,2026-08,5689.5,5216.0,5040.0,4982.0,,YES,-12.44,-4.49,2026-09-17
CANBK,123.9,2026-08,133.11,125.5,125.14,122.48,,YES,-6.92,-1.27,2026-09-17
CHOLAFIN,1764.5,2026-08,1952.5,1807.5,1793.2,1747.6,,YES,-9.63,-2.38,2026-09-17
CIPLA,1376.3,2026-08,1488.1,1401.1,1385.0,1351.6,,YES,-7.51,-1.77,2026-09-17
CONCOR,488.15,2026-08,543.7,493.05,494.0,485.0,,YES,-10.22,-0.99,2026-09-17
CUMMINSIND,5020.0,2026-08,5595.0,5083.0,5043.5,4920.0,,YES,-10.28,-1.24,2026-09-17
DELHIVERY,425.95,2026-08,487.95,439.1,429.95,418.85,,YES,-12.71,-2.99,2026-09-17
DLF,640.0,2026-08,691.05,635.05,644.55,622.0,,YES,-7.39,0.78,2026-09-17
